Wall time,Step,Value
1648981801.871781,0,0.04459482803940773
1648981814.093048,1,0.0014970082556828856
1648981825.787077,2,0.0011497177183628082
1648981837.551638,3,0.0012427055044099689
1648981849.732104,4,0.0013203215785324574
1648981861.920332,5,0.0010208598105236888
1648981874.098089,6,0.0011287351371720433
1648981886.121568,7,0.0010359588777646422
1648981897.859405,8,0.0009706490091048181
1648981909.544418,9,0.0009402163559570909
1648981921.280358,10,0.0008899971726350486
1648981933.131346,11,0.0009399436530657113
1648981945.194175,12,0.001070117810741067
1648981957.154475,13,0.0008171136723831296
1648981969.13321,14,0.0009479003492742777
1648981981.041069,15,0.0009476213599555194
1648981993.141075,16,0.0008807929116301239
1648982005.150675,17,0.0008142201113514602
1648982017.006622,18,0.000859561376273632
1648982029.14044,19,0.0009591354173608124
1648982040.881396,20,0.0008007262367755175
1648982052.952996,21,0.0008216167334467173
1648982064.967962,22,0.0008198528666980565
1648982076.68384,23,0.0009357997332699597
1648982088.903934,24,0.0007646108861081302
1648982100.865015,25,0.0007053633453324437
1648982112.666307,26,0.0008743936195969582
1648982124.704213,27,0.000786776072345674
1648982136.773289,28,0.0006833811639808118
1648982148.849892,29,0.0007433323189616203
1648982160.815671,30,0.0007522400701418519
1648982172.671795,31,0.0009089700179174542
1648982184.564351,32,0.0007037915056571364
1648982196.014284,33,0.0007382449111901224
1648982207.443658,34,0.0007546168635599315
1648982218.740382,35,0.0006861254805698991
1648982230.046401,36,0.0007119568763300776
1648982241.611348,37,0.0007058721967041492
1648982253.375339,38,0.0006273008184507489
1648982265.342883,39,0.0006417711265385151
1648982276.363342,40,0.0006961862090975046
1648982288.019535,41,0.0007205608417280018
1648982299.05006,42,0.0005989267956465483
1648982310.711431,43,0.0006535256979987025
1648982321.876109,44,0.0005662816110998392
1648982333.868493,45,0.0006342408014461398
1648982345.630091,46,0.0007039164192974567
1648982357.125246,47,0.000602140964474529
1648982367.852735,48,0.0005777807673439384
